Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
30700.0,Put,1.0,0.0,-29718.477571129846,-28.464612633678268,553679.8801384781,-4776.112259470724,0.13404383
30750.0,Call,418.0,15.0,-13632923.644390702,-11631.966344040995,-21341701.27783399,-2252041.5595023944,0.15736798
30750.0,Put,7.0,0.0,-182670.37253204235,-185.1832835763332,3918896.526891629,-30659.889584418837,0.13204651
30800.0,Call,183.0,7.0,-5508577.717021843,-4896.838297571652,-8389878.090583159,-947275.076029873,0.1572232
30800.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.12870206
30850.0,Call,7.0,6.0,-194254.06406871215,-179.29465055674603,-288893.178542216,-34719.09271315438,0.15737128
30850.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.12589166
30900.0,Call,200.0,3.0,-5095833.87871542,-4880.740489984565,-7392518.423435777,-945190.5059814465,0.15737233
30900.0,Put,13.0,0.0,-188374.03436122555,-233.72251687200423,7500224.069068669,-35874.50095720253,0.12103067
30950.0,Call,4.0,0.0,-93351.55268357033,-92.61487679046061,-132266.7724970175,-17944.58220817389,0.15744199
30950.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.16819899
31000.0,Call,1377.0,329.0,-29172914.650298633,-30042.779085176546,-40155049.260813005,-5803866.727859389,0.15697064
31000.0,Put,230.0,0.0,-5438098.725067135,-5232.960449619345,127364531.47863585,-1101726.4806673438,0.16819899
31100.0,Call,1079.0,68.0,-19199474.77580615,-20923.088623133073,-25613806.578796558,-4078006.401360428,0.15835264
31100.0,Put,1.0,0.0,-19986.4672091228,-20.526933213485506,560774.6902075819,-4330.037765765357,0.16819899
31200.0,Call,296.0,58.0,-4430740.273165009,-5073.73331984061,-5770009.032947733,-1000563.1046730208,0.16020995
31200.0,Put,1.0,0.0,-16717.34388118585,-18.248614306053,566655.9711377495,-3858.7714417823368,0.16819899
31250.0,Call,321.0,27.0,-4375489.808141589,-5140.595006306641,-5611301.903571327,-1017345.6086143492,0.16077289
31250.0,Put,8.0,0.0,-121833.66497750409,-136.91645544485021,4553699.825067406,-28993.14255213907,0.16819899
31300.0,Call,285.0,46.0,-3520989.5758716837,-4245.227302934499,-4439799.81528148,-842160.0028983412,0.16115244
31300.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.16819899
31400.0,Call,196.0,0.0,-2002103.2827881656,-2526.7515722230337,-2459983.9782621963,-505547.9166267027,0.16252451
31400.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.16819899
31500.0,Call,1038.0,203.0,-8898975.035423122,-11659.024071067648,-10775224.643246662,-2365439.8186619813,0.16479738
31500.0,Put,116.0,0.0,-935686.0444783035,-1246.6653127480126,67379491.0584301,-258042.0098081346,0.16201344
31600.0,Call,81.0,0.0,-580534.4194883874,-788.3328107526894,-692541.2838972432,-162008.36868679983,0.16692131
31600.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.16819899
